vin,body_type,daysonmarket,fleet,frame_damaged,fuel_type,has_accidents,horsepower,isCab,make_name,maximum_seating,mileage,model_name,price,transmission,wheel_system,year
KM8J3CAL2LU220092,SUV / Crossover,183,,,Gasoline,,181,,Hyundai,5 seats,7,Tucson,31335,A,AWD,2020
1C4PJLLX5KD302711,SUV / Crossover,192,TRUE,TRUE,Gasoline,FALSE,271,FALSE,Jeep,5 seats,28529,Cherokee,18995,A,FWD,2019
5NPEH4J21LH041167,Sedan,181,,,Gasoline,,180,,Hyundai,5 seats,13,Sonata,32267,A,FWD,2020
2C4RC1BG0HR527794,Minivan,19,FALSE,FALSE,Gasoline,FALSE,287,FALSE,Chrysler,8 seats,41266,Pacifica,16950,A,FWD,2017
KM8K5CA52LU530842,SUV / Crossover,195,,,Gasoline,,175,,Hyundai,5 seats,11,Kona,30470,A,AWD,2020
2C3CDZFJ2LH209606,Coupe,0,,,Gasoline,,485,,Dodge,5 seats,5,Challenger,53875,M,RWD,2020
1GKKNXLS0LZ230142,SUV / Crossover,11,,,Gasoline,,310,,GMC,7 seats,,Acadia,49474,A,4WD,2020
KMHC65LC8HU031575,Hatchback,14,FALSE,FALSE,Hybrid,TRUE,139,FALSE,Hyundai,5 seats,45487,Ioniq Hybrid,14888,Dual Clutch,FWD,2017
KM8J3CAL0LU210337,SUV / Crossover,93,,,Gasoline,,181,,Hyundai,5 seats,5,Tucson,31350,A,AWD,2020
5NPEB4AC3EH826951,Sedan,87,TRUE,TRUE,Gasoline,FALSE,198,TRUE,Hyundai,5 seats,65182,Sonata,8995,A,FWD,2014
1N4AL21E39N441581,Sedan,21,FALSE,FALSE,Gasoline,TRUE,175,FALSE,Nissan,5 seats,186608,Altima,3495,A,FWD,2009
2GNAXVEV6J6252840,SUV / Crossover,223,FALSE,FALSE,Gasoline,FALSE,170,FALSE,Chevrolet,5 seats,88205,Equinox,18995,A,4WD,2018
5NPEH4J26LH031802,Sedan,203,,,Gasoline,,180,,Hyundai,5 seats,9,Sonata,34775,A,FWD,2020
WDC0G4KB1HF247824,SUV / Crossover,22,FALSE,FALSE,Gasoline,TRUE,241,FALSE,Mercedes-Benz,5 seats,30744,GLC-Class,25950,A,AWD,2017
